id_cliente,cliente_ativo,genero,cliente_idoso,cliente_parceiro,cliente_dependentes,meses_contrato,linha_telefonica,multiplas_linhas,provedor_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,streaming_TV,streaming_filmes,tipo_contrato,fatura_digital,meio_pagamento,fatura_mensal,custo_total,contas_diarias
0020-JDNXP,Sim,Feminino,Não,Sim,Sim,34,Não,Não,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,Não,Cheque via correio,61.25,1993.2,2.04
0021-IKXGC,Sim,Feminino,Sim,Não,Não,1,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,72.1,72.1,2.4
0022-TCJCI,Não,Masculino,Sim,Não,Não,45,Sim,Não,DSL,Sim,Não,Sim,Não,Não,Sim,Anual,Não,Cartão de crédito (automático),62.7,2791.5,2.09
0023-HGHWL,Não,Masculino,Sim,Não,Não,1,Não,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,25.1,25.1,0.84
0023-UYUPN,Sim,Feminino,Sim,Sim,Não,50,Sim,Sim,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Anual,Não,Cheque eletrônico,25.2,1306.3,0.84
0023-XUOPT,Não,Feminino,Não,Sim,Não,13,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Não,Mensal,Não,Cheque eletrônico,94.1,1215.6,3.14
0027-KWYKW,Sim,Feminino,Não,Sim,Sim,23,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,83.75,1849.95,2.79
0030-FNXPP,Sim,Feminino,Não,Não,Não,3,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque via correio,19.85,57.2,0.66
0031-PVLZI,Não,Feminino,Não,Sim,Sim,4,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque via correio,20.35,76.35,0.68
0032-PGELS,Não,Feminino,Não,Sim,Sim,1,Não,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Não,Transferência bancária (automático),30.5,30.5,1.02
0036-IHMOT,Sim,Feminino,Não,Sim,Sim,55,Sim,Não,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transferência bancária (automático),103.7,5656.75,3.46
0040-HALCW,Sim,Masculino,Não,Sim,Sim,54,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Bienal,Não,Cartão de crédito (automático),20.4,1090.6,0.68
0042-JVWOJ,Sim,Masculino,Não,Não,Não,26,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Anual,Sim,Transferência bancária (automático),19.6,471.85,0.65
0042-RLHYP,Sim,Feminino,Não,Sim,Sim,69,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Bienal,Não,Transferência bancária (automático),19.7,1396.9,0.66
0048-LUMLS,Sim,Masculino,Não,Sim,Sim,37,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Anual,Não,Cartão de crédito (automático),91.2,3247.55,3.04
0048-PIHNL,Sim,Feminino,Não,Sim,Não,49,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Anual,Não,Transferência bancária (automático),20.45,900.9,0.68
0052-DCKON,Sim,Masculino,Não,Sim,Não,66,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Não,Transferência bancária (automático),115.8,7942.15,3.86
0052-YNYOT,Sim,Feminino,Não,Não,Não,67,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Anual,Não,Cheque eletrônico,20.55,1343.4,0.68
0056-EPFBG,Sim,Masculino,Não,Sim,Sim,20,Não,Não,DSL,Sim,Não,Sim,Sim,Não,Não,Bienal,Sim,Cartão de crédito (automático),39.4,825.4,1.31
0057-QBUQH,Sim,Feminino,Não,Não,Sim,43,Sim,Sim,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Bienal,Sim,Cheque eletrônico,25.1,1070.15,0.84
0058-EVZWM,Sim,Feminino,Não,Sim,Não,55,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Transferência bancária (automático),89.8,4959.6,2.99
0060-FUALY,Sim,Feminino,Não,Sim,Não,59,Sim,Sim,Fibra óptica,Sim,Sim,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,94.75,5597.65,3.16
0064-SUDOG,Sim,Feminino,Não,Sim,Sim,12,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Bienal,Não,Transferência bancária (automático),20.3,224.5,0.68
0064-YIJGF,Sim,Masculino,Não,Sim,Sim,27,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Transferência bancária (automático),75.75,1929.0,2.52
0067-DKWBL,Não,Masculino,Sim,Não,Não,2,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,49.25,91.1,1.64
0068-FIGTF,Sim,Feminino,Não,Não,Não,27,Sim,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Anual,Não,Cheque via correio,78.2,2078.95,2.61
0071-NDAFP,Sim,Masculino,Não,Sim,Sim,25,Sim,Sim,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Bienal,Não,Cartão de crédito (automático),25.5,630.6,0.85
0074-HDKDG,Sim,Masculino,Não,Sim,Sim,25,Sim,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Anual,Sim,Transferência bancária (automático),61.6,1611.0,2.05
0076-LVEPS,Sim,Masculino,Não,Não,Sim,29,Não,Não,DSL,Sim,Sim,Sim,Sim,Não,Não,Mensal,Sim,Cheque via correio,45.0,1242.45,1.5
0078-XZMHT,Sim,Masculino,Não,Sim,Não,72,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Transferência bancária (automático),85.15,6316.2,2.84
0080-EMYVY,Sim,Feminino,Não,Não,Não,14,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Anual,Não,Cartão de crédito (automático),51.45,727.85,1.72
0080-OROZO,Sim,Feminino,Não,Não,Não,35,Sim,Não,Fibra óptica,Não,Não,Sim,Sim,Sim,Sim,Anual,Sim,Cheque eletrônico,99.25,3532.0,3.31
0082-LDZUE,Sim,Masculino,Não,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque via correio,44.3,44.3,1.48
0082-OQIQY,Sim,Masculino,Não,Não,Não,29,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,94.2,2607.6,3.14
0083-PIVIK,Sim,Masculino,Não,Não,Não,64,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,Anual,Não,Cheque eletrônico,81.25,5567.55,2.71
0089-IIQKO,Sim,Feminino,Não,Sim,Sim,39,Sim,Sim,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cartão de crédito (automático),99.95,3767.4,3.33
0093-EXYQL,Sim,Feminino,Sim,Não,Não,40,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,91.55,3673.6,3.05
0093-XWZFY,Não,Masculino,Não,Não,Não,40,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cartão de crédito (automático),104.5,4036.85,3.48
0094-OIFMO,Não,Feminino,Sim,Não,Não,11,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,95.0,1120.3,3.17
0096-BXERS,Sim,Feminino,Não,Sim,Não,6,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,50.35,314.55,1.68
0096-FCPUF,Sim,Masculino,Não,Não,Não,30,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque via correio,64.5,1888.45,2.15
0098-BOWSO,Sim,Masculino,Não,Não,Não,27,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,19.4,529.8,0.65
0100-DUVFC,Sim,Masculino,Sim,Sim,Não,70,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Anual,Sim,Cheque eletrônico,104.8,7308.95,3.49
0103-CSITQ,Sim,Feminino,Não,Sim,Não,57,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transferência bancária (automático),109.4,6252.7,3.65
0104-PPXDV,Sim,Masculino,Não,Sim,Não,58,Sim,Não,DSL,Não,Não,Sim,Não,Não,Não,Anual,Não,Cartão de crédito (automático),50.3,2878.55,1.68
0106-GHRQR,Sim,Masculino,Não,Não,Não,16,Sim,Sim,DSL,Não,Sim,Sim,Não,Não,Sim,Mensal,Sim,Transferência bancária (automático),71.4,1212.1,2.38
0106-UGRDO,Sim,Feminino,Não,Sim,Não,69,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque eletrônico,116.0,8182.85,3.87
0107-WESLM,Não,Masculino,Não,Não,Não,1,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,19.85,19.85,0.66
0107-YHINA,Não,Masculino,Não,Não,Sim,1,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,99.75,99.75,3.32
0111-KLBQG,Sim,Masculino,Sim,Sim,Sim,32,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque via correio,93.95,2861.45,3.13
0112-QAWRZ,Sim,Masculino,Não,Sim,Sim,16,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,Transferência bancária (automático),90.8,1442.2,3.03
0112-QWPNC,Não,Masculino,Não,Sim,Não,49,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,Não,Cheque eletrônico,84.35,4059.35,2.81
0114-IGABW,Sim,Feminino,Não,Sim,Não,71,Não,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Transferência bancária (automático),58.25,4145.9,1.94
0114-PEGZZ,Sim,Feminino,Não,Não,Não,33,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Não,Cheque eletrônico,107.55,3645.5,3.58
0114-RSRRW,Sim,Feminino,Não,Sim,Não,10,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Mensal,Sim,Transferência bancária (automático),19.95,187.75,0.66
0115-TFERT,Não,Masculino,Não,Sim,Não,21,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,111.2,2317.1,3.71
0117-LFRMW,Não,Masculino,Não,Sim,Sim,37,Não,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Mensal,Não,Transferência bancária (automático),40.2,1448.8,1.34
0118-JPNOY,Sim,Feminino,Sim,Não,Não,26,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Cartão de crédito (automático),85.8,2193.65,2.86
0121-SNYRK,Sim,Masculino,Não,Não,Não,50,Não,Não,DSL,Sim,Não,Não,Sim,Não,Não,Anual,Sim,Cheque via correio,35.4,1748.9,1.18
0122-OAHPZ,Não,Feminino,Não,Não,Não,7,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,73.85,511.25,2.46
0123-CRBRT,Sim,Feminino,Não,Sim,Sim,61,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Cheque via correio,88.1,5526.75,2.94
0125-LZQXK,Não,Masculino,Não,Não,Não,15,Sim,Não,Fibra óptica,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,101.35,1553.95,3.38
0128-MKWSG,Sim,Feminino,Não,Não,Sim,26,Não,Não,DSL,Sim,Não,Não,Sim,Não,Sim,Mensal,Não,Cheque via correio,45.8,1147.0,1.53
0129-KPTWJ,Sim,Masculino,Não,Sim,Não,72,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,94.65,6747.35,3.16
0129-QMPDR,Sim,Masculino,Não,Sim,Sim,44,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Anual,Sim,Transferência bancária (automático),20.5,865.05,0.68
0130-SXOUN,Sim,Masculino,Não,Não,Não,66,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Não,Sim,Mensal,Não,Cartão de crédito (automático),89.4,5976.9,2.98
0133-BMFZO,Não,Feminino,Não,Não,Não,2,Sim,Não,Fibra óptica,Sim,Sim,Não,Sim,Não,Não,Mensal,Sim,Cheque eletrônico,86.25,181.65,2.88
0134-XWXCE,Sim,Feminino,Sim,Não,Não,44,Sim,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,Anual,Não,Transferência bancária (automático),74.85,3268.05,2.49
0135-NMXAP,Não,Feminino,Não,Não,Não,12,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Transferência bancária (automático),89.75,1052.4,2.99
0136-IFMYD,Sim,Masculino,Sim,Sim,Não,69,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque eletrônico,109.95,7634.25,3.66
0137-OCGAB,Não,Feminino,Não,Não,Não,1,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Cheque via correio,80.2,80.2,2.67
0137-UDEUO,Não,Feminino,Não,Não,Não,3,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque via correio,19.85,63.75,0.66
0139-IVFJG,Sim,Feminino,Não,Sim,Não,2,Sim,Não,Fibra óptica,Sim,Sim,Não,Não,Sim,Não,Mensal,Não,Cheque eletrônico,90.35,190.5,3.01
0141-YEAYS,Sim,Feminino,Sim,Não,Não,27,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Não,Não,Mensal,Sim,Transferência bancária (automático),86.45,2401.05,2.88
0142-GVYSN,Sim,Masculino,Não,Não,Não,26,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,20.3,511.25,0.68
0147-ESWWR,Sim,Feminino,Sim,Sim,Não,39,Sim,Sim,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,101.25,3949.15,3.38
0148-DCDOS,Não,Masculino,Não,Não,Não,25,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Transferência bancária (automático),94.7,2362.1,3.16
0151-ONTOV,Não,Feminino,Não,Não,Não,1,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque via correio,70.9,70.9,2.36
0156-FVPTA,Não,Masculino,Não,Sim,Não,22,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Não,Mensal,Sim,Cheque eletrônico,54.2,1152.7,1.81
0164-APGRB,Sim,Feminino,Não,Não,Não,72,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque eletrônico,114.9,8496.7,3.83
0164-XAIRP,Sim,Feminino,Não,Não,Não,24,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Bienal,Sim,Transferência bancária (automático),19.55,470.2,0.65
0168-XZKBB,Sim,Feminino,Não,Sim,Não,19,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,86.85,1564.4,2.9
0174-QRVVY,Sim,Masculino,Não,Sim,Sim,71,Sim,Sim,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Bienal,Não,Cartão de crédito (automático),25.35,1847.55,0.85
0177-PXBAT,Sim,Masculino,Sim,Sim,Não,33,Sim,Sim,Fibra óptica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Transferência bancária (automático),109.9,3694.7,3.66
0178-CIIKR,Sim,Feminino,Não,Não,Não,3,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque via correio,19.95,58.0,0.66
0178-SZBHO,Sim,Masculino,Não,Sim,Sim,47,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Não,Mensal,Não,Cheque eletrônico,87.2,4017.45,2.91
0181-RITDD,Sim,Masculino,Não,Sim,Sim,62,Sim,Não,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Cheque via correio,108.15,6825.65,3.6
0186-CAERR,Sim,Masculino,Não,Não,Não,71,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transferência bancária (automático),116.3,8309.55,3.88
0187-QSXOE,Sim,Masculino,Sim,Sim,Não,7,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,89.0,605.45,2.97
0187-WZNAB,Sim,Feminino,Não,Sim,Sim,27,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque via correio,74.4,1972.35,2.48
0188-GWFLE,Sim,Masculino,Não,Não,Não,2,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque via correio,20.05,33.7,0.67
0191-EQUUH,Sim,Feminino,Não,Não,Sim,25,Não,Não,DSL,Sim,Não,Não,Sim,Não,Não,Bienal,Não,Transferência bancária (automático),35.05,844.45,1.17
0191-ZHSKZ,Sim,Masculino,Sim,Não,Não,30,Sim,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,74.75,2111.3,2.49
0193-ESZXP,Não,Feminino,Sim,Sim,Não,58,Sim,Não,Fibra óptica,Sim,Sim,Não,Sim,Sim,Sim,Anual,Sim,Cartão de crédito (automático),105.5,6205.5,3.52
0195-IESCP,Não,Masculino,Não,Sim,Não,10,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,85.25,855.3,2.84
0196-JTUQI,Sim,Feminino,Não,Não,Não,9,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cartão de crédito (automático),75.2,633.85,2.51
0196-VULGZ,Não,Feminino,Sim,Sim,Não,6,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,84.35,474.9,2.81
0197-PNKNK,Sim,Feminino,Não,Sim,Sim,69,Sim,Sim,Fibra óptica,Sim,Não,Sim,Não,Não,Não,Anual,Não,Transferência bancária (automático),84.45,5848.6,2.82
0201-MIBOL,Sim,Feminino,Sim,Não,Não,66,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Sim,Sim,Bienal,Sim,Transferência bancária (automático),102.4,6471.85,3.41
0201-OAMXR,Não,Feminino,Não,Não,Não,70,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Não,Cartão de crédito (automático),115.55,8127.6,3.85
0203-HHYIJ,Não,Masculino,Não,Não,Não,25,Sim,Sim,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Anual,Não,Transferência bancária (automático),25.3,676.35,0.84
0206-OYVOC,Sim,Feminino,Não,Sim,Sim,46,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Bienal,Sim,Cheque via correio,19.25,864.2,0.64
0206-TBWLC,Sim,Feminino,Não,Sim,Não,54,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Cheque via correio,114.65,6049.5,3.82
0207-MDKNV,Não,Feminino,Não,Não,Não,15,Sim,Não,Fibra óptica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Não,Cheque eletrônico,105.1,1582.75,3.5
0208-BPQEJ,Sim,Feminino,Não,Sim,Sim,12,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Mensal,Não,Transferência bancária (automático),19.4,198.1,0.65
0212-ISBBF,Sim,Feminino,Não,Não,Não,22,Não,Não,DSL,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,50.35,1098.85,1.68
0214-JHPFW,Sim,Feminino,Não,Sim,Não,70,Não,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Transferência bancária (automático),57.8,4039.3,1.93
0215-BQKGS,Sim,Masculino,Não,Não,Não,30,Sim,Não,Fibra óptica,Sim,Sim,Sim,Não,Não,Não,Mensal,Sim,Cartão de crédito (automático),84.3,2438.6,2.81
0218-QNVAS,Sim,Masculino,Não,Sim,Sim,71,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Anual,Não,Transferência bancária (automático),100.55,7113.75,3.35
0219-QAERP,Sim,Masculino,Não,Sim,Não,30,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Anual,Não,Cartão de crédito (automático),19.8,576.65,0.66
0219-YTZUE,Não,Masculino,Não,Sim,Sim,4,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Não,Não,Mensal,Sim,Transferência bancária (automático),84.8,371.9,2.83
0220-EBGCE,Não,Masculino,Não,Não,Não,2,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,85.85,167.3,2.86
0221-NAUXK,Sim,Masculino,Não,Não,Sim,10,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Anual,Sim,Transferência bancária (automático),19.95,219.5,0.66
0221-WMXNQ,Sim,Masculino,Sim,Não,Não,4,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,75.35,273.4,2.51
0222-CNVPT,Sim,Masculino,Sim,Não,Não,52,Não,Não,DSL,Sim,Não,Não,Não,Sim,Sim,Mensal,Sim,Cartão de crédito (automático),48.8,2555.05,1.63
0224-HJAPT,Não,Masculino,Não,Não,Não,5,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,47.15,223.15,1.57
0224-NIJLP,Sim,Masculino,Não,Sim,Sim,8,Sim,Não,Sem serviço de internet,Não,Não,Não,Não,Não,Não,Bienal,Não,Cheque via correio,20.15,165.5,0.67
0224-RLWWD,Sim,Feminino,Sim,Não,Não,2,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,44.3,89.3,1.48
0225-ZORZP,Sim,Masculino,Não,Não,Não,3,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Não,Sim,Mensal,Não,Cheque eletrônico,84.3,235.05,2.81
0228-MAUWC,Sim,Masculino,Não,Não,Não,19,Sim,Sim,DSL,Não,Não,Sim,Sim,Não,Não,Mensal,Não,Cheque eletrônico,59.55,1144.6,1.98
0229-LFJAF,Sim,Masculino,Não,Não,Não,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Não,Não,Bienal,Não,Transferência bancária (automático),69.65,4908.25,2.32
0230-UBYPQ,Sim,Masculino,Sim,Sim,Não,63,Não,Não,DSL,Sim,Não,Não,Sim,Não,Não,Anual,Não,Transferência bancária (automático),36.1,2298.9,1.2
0230-WEQUW,Sim,Masculino,Não,Sim,Não,66,Não,Não,DSL,Sim,Sim,Sim,Sim,Sim,Não,Bienal,Sim,Transferência bancária (automático),56.6,3789.2,1.89
0231-LXVAP,Não,Masculino,Não,Não,Não,1,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Não,Não,Mensal,Sim,Cheque eletrônico,75.9,75.9,2.53
0233-FTHAV,Sim,Feminino,Não,Não,Não,60,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Não,Não,Anual,Sim,Transferência bancária (automático),79.2,4765.0,2.64
0234-TEVTT,Sim,Feminino,Não,Sim,Sim,48,Não,Não,DSL,Sim,Não,Sim,Não,Não,Sim,Anual,Não,Cartão de crédito (automático),45.0,2196.3,1.5
